studyName,location,latitude,longitude,vegetation,map,mat,grouping,lai,species,speciesMatched,family,pft,growingCondition,status,light,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,h.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Aristotelia chilensis,Aristotelia chilensis,Elaeocarpaceae,EA,FW,NA,NA,NA,0.00032,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.17E-07,NA,NA,0.000674107,0.001320608,0.035,0.016476527,0.00102,NA,NA,0.029296752,0.018523473,7.00E-06,NA,NA,NA,5.00E-06,1.20E-05,NA,NA,NA,5.00E-06,1.70E-05,8.01E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Nothofagus dombeyi,Nothofagus dombeyi,Nothofagaceae,EA,FW,NA,NA,NA,0.00039,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83E-07,NA,NA,0.000684399,0.002173753,0.045,0.015050301,6.00E-04,NA,NA,0.029519551,0.029949699,1.30E-05,NA,NA,NA,1.00E-05,2.30E-05,NA,NA,NA,4.00E-06,2.70E-05,5.51E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Aextoxicon punctatum,Aextoxicon punctatum,Aextoxicaceae,EA,FW,NA,NA,NA,0.00029,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.85E-07,NA,NA,0.000699513,NA,0.058,0.047006512,0.001,NA,NA,0.02984372,0.010993488,2.00E-05,NA,NA,NA,1.50E-05,3.50E-05,NA,NA,NA,2.00E-05,5.50E-05,6.38E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2012,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,NA,NA,NA,Amomyrtus luma,Amomyrtus luma,Myrtaceae,EA,FW,NA,NA,NA,0.00076,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96E-07,NA,NA,0.000708319,0.004524923,0.064,0.002852279,5.00E-04,NA,NA,0.03003098,0.061147721,2.60E-05,NA,NA,NA,2.22E-05,4.82E-05,NA,NA,NA,3.10E-05,7.92E-05,4.21E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Eucryphia cordifolia,Eucryphia cordifolia,Cunionaceae,EA,FW,NA,NA,NA,4.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.17E-07,NA,NA,0.000734856,0.001507763,0.038,0.020048164,0.00102,NA,NA,0.030588359,0.017951836,2.00E-05,NA,NA,NA,7.00E-06,2.70E-05,NA,NA,NA,1.00E-05,3.70E-05,5.77E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2012,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,NA,NA,NA,Nothofagus nitida,Nothofagus nitida,Nothofagaceae,EA,FW,NA,NA,NA,0.00068,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.31E-06,NA,NA,0.000792128,0.003113794,0.06,0.009819901,0.00305,NA,NA,0.031757971,0.050180099,4.60E-05,NA,NA,NA,5.00E-06,5.10E-05,NA,NA,NA,2.50E-05,7.60E-05,5.70E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2012,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,NA,NA,NA,Amomyrtus luma,Amomyrtus luma,Myrtaceae,EA,FW,NA,NA,NA,0.00056,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.85E-07,NA,NA,0.00079774,0.003464283,0.048,0.001259744,7.00E-04,NA,NA,0.03187027,0.046740256,2.80E-05,NA,NA,NA,3.20E-05,6.00E-05,NA,NA,NA,2.40E-05,8.40E-05,3.97E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 106; Subplot_ID = C,NA,Acer saccharum,Acer saccharum,Aceraceae,DA,FW,0,under 20% PPFD,NA,0.002652,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14E-06,NA,NA,0.000855299,NA,NA,0.02,0.002,NA,NA,0.033,NA,9.80E-05,NA,NA,NA,0.000133,0.000231,NA,NA,NA,0.000139,0.00037,NA,0.036953243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Nothofagus dombeyi,Nothofagus dombeyi,Nothofagaceae,EA,FW,NA,NA,NA,0.00061,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.03E-07,NA,NA,0.000863103,0.003502023,0.089,0.03860096,8.00E-04,NA,NA,0.033150217,0.05039904,2.50E-05,NA,NA,NA,1.50E-05,4.00E-05,NA,NA,NA,1.10E-05,5.10E-05,5.52E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2012,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,NA,NA,NA,Saxegothaea conspicua,Saxegothaea conspicua,Podocarpaceae,EG,FW,NA,NA,NA,0.00025,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.50E-07,NA,NA,0.000863831,0.003225098,0.064,0.029248026,0.0011,NA,NA,0.033164194,0.034751974,2.40E-05,NA,NA,NA,2.50E-05,4.90E-05,NA,NA,NA,2.40E-05,7.30E-05,9.10E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
